材料编号,材料名称,规格型号,人群,风格,单价,数量单位,备注,点位类型
YSG3-3,适老浴室柜,YSG3-3 实木 适老 深砂灰,通用,中古,2800,套,
GD1-1,淋浴隔断,不锈钢 0.8mm钢化玻璃 不锈钢色,通用,素雅、轻法,800,平米,
GD1-2,淋浴隔断,不锈钢 0.8mm钢化玻璃 枪灰色,通用,轻法、中古,800,平米,
GD2-1,淋浴隔断,钛镁合金 1.0mm钢化玻璃 银白色,通用,素雅、轻法,1200,平米,
GD2-2,淋浴隔断,钛镁合金 1.0mm钢化玻璃 枪灰色,通用,轻法、中古,1200,平米,
FSH-1,花洒扶手,FSH-1,老人,通用,150,套,
FSM-1,马桶扶手,FSM-1,老人,通用,80,套,
LYY-1,淋浴椅,LYY-1,老人,通用,170,套,
FSN1-6,分水器,FSN1-6 六孔分水器 320x90x60,通用,通用,120,套,吊顶安装；六孔分配冷水至各用水点
FSN1-8,分水器,FSN1-8 八孔分水器 420x90x60,通用,通用,160,套,吊顶安装；八孔分配冷水至各用水点
DL-01,地漏,地漏01 100x100 不锈钢,通用,通用,88,个,淋浴及干区地面排水点,floor_drain
DL-02,地漏,地漏02 100x100 深水封,通用,通用,128,个,淋浴及干区地面排水点,floor_drain
DP-DN50,排水点,通用排水预留口 DN50,通用,通用,0,个,墙地排水定位模型,drain
WP-CW,给水点,冷热水预留口,通用,通用,0,组,墙面给水定位模型,water
EP-16A,电位,三孔16A插座,通用,通用,65,个,墙面电点模型,electric
EP-2K,电位,双开面板,通用,通用,48,个,墙面电点模型,electric
EP-NL,电位,夜灯面板,通用,通用,68,个,墙面电点模型,electric
EP-5H,电位,正五孔插座,通用,通用,45,个,墙面电点模型,electric
EP-YB,电位,浴霸面板,通用,通用,88,个,墙面电点模型,electric
EP-FJ,电位,防溅盒,通用,通用,38,个,墙面电点模型,electric
