分类	相对路径	文件名	格式	长 X (mm)	宽 Z (mm)	高 Y (mm)	换算系数	状态	说明
扶手	扶手\扶手B.fbx	扶手B.fbx	FBX	2500	2500	400	1000	OK	FBX 原始坐标按米级导出，已换算为毫米；请结合模型软件单位复核。
扶手	扶手\扶手B1.fbx	扶手B1.fbx	FBX	2500	2500	400	1000	OK	FBX 原始坐标按米级导出，已换算为毫米；请结合模型软件单位复核。
花洒	花洒\双头花洒_03.fbx	双头花洒_03.fbx	FBX	284.7	484.9	1327.1	1	OK	
花洒	花洒\双头花洒_03.skp	双头花洒_03.skp	SKP				1	SKP专有格式，未直接解析	SKP 专有二进制格式，当前环境未直接解析；请用 SketchUp 或导出 FBX/GLB 后复核。
花洒	花洒\双头花洒_2.glb	双头花洒_2.glb	GLB	376.5	660.1	1360.4	1	OK	glTF 单位因导出文件而异，按场景比例启发式换算；建议测试前在建模软件中抽查。
角篮	角篮\角篮01.fbx	角篮01.fbx	FBX	200.1	200	406.3	1	OK	
角篮	角篮\角篮01.skp	角篮01.skp	SKP				1	SKP专有格式，未直接解析	SKP 专有二进制格式，当前环境未直接解析；请用 SketchUp 或导出 FBX/GLB 后复核。
淋浴隔断	淋浴隔断\淋浴隔断_钻石形.fbx	淋浴隔断_钻石形.fbx	FBX	977	1913.7	972.2	1	OK	
淋浴隔断	淋浴隔断\淋浴隔断_钻石形.skp	淋浴隔断_钻石形.skp	SKP				1	SKP专有格式，未直接解析	SKP 专有二进制格式，当前环境未直接解析；请用 SketchUp 或导出 FBX/GLB 后复核。
淋浴隔断	淋浴隔断\淋浴隔断01.fbx	淋浴隔断01.fbx	FBX	900	40	2184	1	OK	
淋浴隔断	淋浴隔断\淋浴隔断01.skp	淋浴隔断01.skp	SKP				1	SKP专有格式，未直接解析	SKP 专有二进制格式，当前环境未直接解析；请用 SketchUp 或导出 FBX/GLB 后复核。
淋浴隔断	淋浴隔断\淋浴隔断02.fbx	淋浴隔断02.fbx	FBX	500.3	27.9	2042.5	1	OK	
淋浴隔断	淋浴隔断\淋浴隔断02.skp	淋浴隔断02.skp	SKP				1	SKP专有格式，未直接解析	SKP 专有二进制格式，当前环境未直接解析；请用 SketchUp 或导出 FBX/GLB 后复核。
淋浴隔断	淋浴隔断\淋浴隔断04.fbx	淋浴隔断04.fbx	FBX	2145	158.4	2000	1	OK	
淋浴隔断	淋浴隔断\淋浴隔断04.skp	淋浴隔断04.skp	SKP				1	SKP专有格式，未直接解析	SKP 专有二进制格式，当前环境未直接解析；请用 SketchUp 或导出 FBX/GLB 后复核。
门窗	门窗\窗01.fbx	窗01.fbx	FBX	835	200	1305	1	OK	
门窗	门窗\窗01.skp	窗01.skp	SKP				1	SKP专有格式，未直接解析	SKP 专有二进制格式，当前环境未直接解析；请用 SketchUp 或导出 FBX/GLB 后复核。
门窗	门窗\窗03.fbx	窗03.fbx	FBX	950.6	50	1300	1	OK	
门窗	门窗\窗03.skp	窗03.skp	SKP				1	SKP专有格式，未直接解析	SKP 专有二进制格式，当前环境未直接解析；请用 SketchUp 或导出 FBX/GLB 后复核。
门窗	门窗\窗套01.fbx	窗套01.fbx	FBX	1430	120	1420	1	OK	
门窗	门窗\窗套01.skp	窗套01.skp	SKP				1	SKP专有格式，未直接解析	SKP 专有二进制格式，当前环境未直接解析；请用 SketchUp 或导出 FBX/GLB 后复核。
门窗	门窗\窗套02.fbx	窗套02.fbx	FBX	1430	120	1420	1	OK	
门窗	门窗\窗套02.skp	窗套02.skp	SKP				1	SKP专有格式，未直接解析	SKP 专有二进制格式，当前环境未直接解析；请用 SketchUp 或导出 FBX/GLB 后复核。
门窗	门窗\门03.fbx	门03.fbx	FBX	750	200	2000	1	OK	
门窗	门窗\门03.skp	门03.skp	SKP				1	SKP专有格式，未直接解析	SKP 专有二进制格式，当前环境未直接解析；请用 SketchUp 或导出 FBX/GLB 后复核。
门窗	门窗\门04.fbx	门04.fbx	FBX	270.2	845.1	2006.2	1	OK	
门窗	门窗\门04.skp	门04.skp	SKP				1	SKP专有格式，未直接解析	SKP 专有二进制格式，当前环境未直接解析；请用 SketchUp 或导出 FBX/GLB 后复核。
门窗	门窗\垭口套02.fbx	垭口套02.fbx	FBX	1038	270	2219	1	OK	
门窗	门窗\垭口套02.skp	垭口套02.skp	SKP				1	SKP专有格式，未直接解析	SKP 专有二进制格式，当前环境未直接解析；请用 SketchUp 或导出 FBX/GLB 后复核。
门窗	门窗\垭口套03.fbx	垭口套03.fbx	FBX	845.1	270.2	2006.2	1	OK	
门窗	门窗\垭口套03.skp	垭口套03.skp	SKP				1	SKP专有格式，未直接解析	SKP 专有二进制格式，当前环境未直接解析；请用 SketchUp 或导出 FBX/GLB 后复核。
热水器	热水器\热水器01.fbx	热水器01.fbx	FBX	780.9	448.1	524.7	1	OK	
热水器	热水器\热水器01.glb	热水器01.glb	GLB	780	450	520	100	OK	glTF 单位因导出文件而异，按场景比例启发式换算；建议测试前在建模软件中抽查。
热水器	热水器\热水器01.skp	热水器01.skp	SKP				1	SKP专有格式，未直接解析	SKP 专有二进制格式，当前环境未直接解析；请用 SketchUp 或导出 FBX/GLB 后复核。
热水器	热水器\Heater_01.obj	Heater_01.obj	OBJ	780.9	448.1	524.7	1	OK	
散热器	散热器\散热器01.glb	散热器01.glb	GLB	460	140	590	100	OK	glTF 单位因导出文件而异，按场景比例启发式换算；建议测试前在建模软件中抽查。
散热器	散热器\散热器01.skp	散热器01.skp	SKP				1	SKP专有格式，未直接解析	SKP 专有二进制格式，当前环境未直接解析；请用 SketchUp 或导出 FBX/GLB 后复核。
散热器	散热器\散热器02.fbx	散热器02.fbx	FBX	462.1	138.1	830.7	1	OK	
散热器	散热器\散热器02.glb	散热器02.glb	GLB	460	140	830	100	OK	glTF 单位因导出文件而异，按场景比例启发式换算；建议测试前在建模软件中抽查。
散热器	散热器\散热器02.skp	散热器02.skp	SKP				1	SKP专有格式，未直接解析	SKP 专有二进制格式，当前环境未直接解析；请用 SketchUp 或导出 FBX/GLB 后复核。
散热器	散热器\散热器03.fbx	散热器03.fbx	FBX	319.4	108.8	1856.1	1	OK	
散热器	散热器\散热器03.skp	散热器03.skp	SKP				1	SKP专有格式，未直接解析	SKP 专有二进制格式，当前环境未直接解析；请用 SketchUp 或导出 FBX/GLB 后复核。
散热器	散热器\散热器04.fbx	散热器04.fbx	FBX	484.4	79.8	345	1	OK	
散热器	散热器\散热器04.glb	散热器04.glb	GLB	480	80	350	100	OK	glTF 单位因导出文件而异，按场景比例启发式换算；建议测试前在建模软件中抽查。
散热器	散热器\散热器04.skp	散热器04.skp	SKP				1	SKP专有格式，未直接解析	SKP 专有二进制格式，当前环境未直接解析；请用 SketchUp 或导出 FBX/GLB 后复核。
水龙头	水龙头\洗面盆龙头01.fbx	洗面盆龙头01.fbx	FBX	51.2	145.5	146	1	OK	
水龙头	水龙头\洗面盆龙头01.skp	洗面盆龙头01.skp	SKP				1	SKP专有格式，未直接解析	SKP 专有二进制格式，当前环境未直接解析；请用 SketchUp 或导出 FBX/GLB 后复核。
水龙头	水龙头\洗面盆龙头02.fbx	洗面盆龙头02.fbx	FBX	40.4	143	142.3	1	OK	
水龙头	水龙头\洗面盆龙头02.skp	洗面盆龙头02.skp	SKP				1	SKP专有格式，未直接解析	SKP 专有二进制格式，当前环境未直接解析；请用 SketchUp 或导出 FBX/GLB 后复核。
水龙头	水龙头\洗面盆水龙头01.skp	洗面盆水龙头01.skp	SKP				1	SKP专有格式，未直接解析	SKP 专有二进制格式，当前环境未直接解析；请用 SketchUp 或导出 FBX/GLB 后复核。
水龙头	水龙头\洗衣机龙头02.fbx	洗衣机龙头02.fbx	FBX	30	156.1	101.6	1	OK	
水龙头	水龙头\洗衣机龙头02.obj	洗衣机龙头02.obj	OBJ	30	100	160	100	OK	OBJ 原始坐标按分米/厘米级导出，已按对应 FBX 尺寸校准为毫米。
水龙头	水龙头\洗衣机龙头02.skp	洗衣机龙头02.skp	SKP				1	SKP专有格式，未直接解析	SKP 专有二进制格式，当前环境未直接解析；请用 SketchUp 或导出 FBX/GLB 后复核。
无障碍淋浴室坐凳001	无障碍淋浴室坐凳001\无障碍淋浴室坐凳001.gltf	无障碍淋浴室坐凳001.gltf	GLTF	600	500	100	1000	OK	glTF 单位因导出文件而异，按场景比例启发式换算；建议测试前在建模软件中抽查。
洗衣机	洗衣机\滚筒洗衣机01.skp	滚筒洗衣机01.skp	SKP				1	SKP专有格式，未直接解析	SKP 专有二进制格式，当前环境未直接解析；请用 SketchUp 或导出 FBX/GLB 后复核。
洗衣机	洗衣机\洗衣机.glb	洗衣机.glb	GLB	608	653	860	10	OK	glTF 单位因导出文件而异，按场景比例启发式换算；建议测试前在建模软件中抽查。
浴霸	浴霸\浴霸01.fbx	浴霸01.fbx	FBX	600	300	28	1	OK	
浴霸	浴霸\浴霸01.skp	浴霸01.skp	SKP				1	SKP专有格式，未直接解析	SKP 专有二进制格式，当前环境未直接解析；请用 SketchUp 或导出 FBX/GLB 后复核。
浴霸	浴霸\浴霸02.fbx	浴霸02.fbx	FBX	300	600	42.2	1	OK	
浴霸	浴霸\浴霸02.skp	浴霸02.skp	SKP				1	SKP专有格式，未直接解析	SKP 专有二进制格式，当前环境未直接解析；请用 SketchUp 或导出 FBX/GLB 后复核。
浴霸	浴霸\浴霸03.skp	浴霸03.skp	SKP				1	SKP专有格式，未直接解析	SKP 专有二进制格式，当前环境未直接解析；请用 SketchUp 或导出 FBX/GLB 后复核。
浴霸	浴霸\浴霸04.skp	浴霸04.skp	SKP				1	SKP专有格式，未直接解析	SKP 专有二进制格式，当前环境未直接解析；请用 SketchUp 或导出 FBX/GLB 后复核。
浴霸	浴霸\浴霸05.skp	浴霸05.skp	SKP				1	SKP专有格式，未直接解析	SKP 专有二进制格式，当前环境未直接解析；请用 SketchUp 或导出 FBX/GLB 后复核。
浴帘_杆	浴帘_杆\浴帘_杆01.fbx	浴帘_杆01.fbx	FBX	1443.8	168.8	1981.1	1	OK	
浴帘_杆	浴帘_杆\浴帘_杆01.skp	浴帘_杆01.skp	SKP				1	SKP专有格式，未直接解析	SKP 专有二进制格式，当前环境未直接解析；请用 SketchUp 或导出 FBX/GLB 后复核。
浴帘_杆	浴帘_杆\浴帘_杆03.fbx	浴帘_杆03.fbx	FBX	880	791.2	2154.4	1	OK	
浴帘_杆	浴帘_杆\浴帘_杆03.skp	浴帘_杆03.skp	SKP				1	SKP专有格式，未直接解析	SKP 专有二进制格式，当前环境未直接解析；请用 SketchUp 或导出 FBX/GLB 后复核。
浴帘_杆	浴帘_杆\浴帘杆01.fbx	浴帘杆01.fbx	FBX	906.5	800	60	1	OK	
浴帘_杆	浴帘_杆\浴帘杆01.skp	浴帘杆01.skp	SKP				1	SKP专有格式，未直接解析	SKP 专有二进制格式，当前环境未直接解析；请用 SketchUp 或导出 FBX/GLB 后复核。
浴室柜	浴室柜\镜柜04.fbx	镜柜04.fbx	FBX	800	200	800	1000	OK	FBX 原始坐标按米级导出，已换算为毫米；请结合模型软件单位复核。
浴室柜	浴室柜\镜柜04.skp	镜柜04.skp	SKP				1	SKP专有格式，未直接解析	SKP 专有二进制格式，当前环境未直接解析；请用 SketchUp 或导出 FBX/GLB 后复核。
浴室柜	浴室柜\洗面盆04.fbx	洗面盆04.fbx	FBX	800	500	560	1	OK	
浴室柜	浴室柜\洗面盆04.skp	洗面盆04.skp	SKP				1	SKP专有格式，未直接解析	SKP 专有二进制格式，当前环境未直接解析；请用 SketchUp 或导出 FBX/GLB 后复核。
照明	照明\平板灯\厨房平板灯01.fbx	厨房平板灯01.fbx	FBX	299.9	599.9	31.8	1	OK	
照明	照明\平板灯\厨房平板灯01.skp	厨房平板灯01.skp	SKP				1	SKP专有格式，未直接解析	SKP 专有二进制格式，当前环境未直接解析；请用 SketchUp 或导出 FBX/GLB 后复核。
置物架	置物架\置物架01.fbx	置物架01.fbx	FBX	607.9	198.9	618.3	1	OK	
置物架	置物架\置物架01.skp	置物架01.skp	SKP				1	SKP专有格式，未直接解析	SKP 专有二进制格式，当前环境未直接解析；请用 SketchUp 或导出 FBX/GLB 后复核。
柱盆	柱盆\柱盆01.fbx	柱盆01.fbx	FBX	757.2	617.7	1096.4	1	OK	
柱盆	柱盆\柱盆01.skp	柱盆01.skp	SKP				1	SKP专有格式，未直接解析	SKP 专有二进制格式，当前环境未直接解析；请用 SketchUp 或导出 FBX/GLB 后复核。
柱盆	柱盆\柱盆02.skp	柱盆02.skp	SKP				1	SKP专有格式，未直接解析	SKP 专有二进制格式，当前环境未直接解析；请用 SketchUp 或导出 FBX/GLB 后复核。
柱盆	柱盆\柱盆03.fbx	柱盆03.fbx	FBX	692.5	561.3	1118.3	1	OK	
柱盆	柱盆\柱盆03.skp	柱盆03.skp	SKP				1	SKP专有格式，未直接解析	SKP 专有二进制格式，当前环境未直接解析；请用 SketchUp 或导出 FBX/GLB 后复核。
